text,label
i love this product,positive
this is amazing,positive
absolutely fantastic,positive
i am so happy with this,positive
best purchase ever,positive
great quality,positive
highly recommend this,positive
wonderful experience,positive
exceeded my expectations,positive
very satisfied with this,positive
this is terrible,negative
worst product ever,negative
completely disappointed,negative
total waste of money,negative
do not buy this,negative
awful quality,negative
very unhappy with this,negative
this is garbage,negative
never buying again,negative
horrible experience,negative
i really enjoyed this,positive
this made me smile,positive
love every bit of it,positive
so glad i bought this,positive
works perfectly fine,positive
just what i needed,positive
outstanding product,positive
very impressive quality,positive
this is top notch,positive
five stars all the way,positive
this broke after one day,negative
very poor build quality,negative
not worth the price at all,negative
completely useless product,negative
fell apart immediately,negative
stopped working after a week,negative
extremely fragile and cheap,negative
worst experience of my life,negative
zero stars if possible,negative
regret buying this completely,negative
the service was excellent,positive
staff were very helpful,positive
quick and easy delivery,positive
arrived on time and in great condition,positive
packaging was really nice,positive
customer support was brilliant,positive
they resolved my issue fast,positive
really smooth shopping experience,positive
great value for money,positive
will definitely order again,positive
delivery was extremely late,negative
item arrived damaged,negative
customer service was rude,negative
they ignored my complaint,negative
refund process was a nightmare,negative
took weeks to arrive,negative
wrong item was sent to me,negative
packaging was completely crushed,negative
no response from the seller,negative
very bad after sales service,negative
i feel so good today,positive
what a great day this is,positive
everything is going well,positive
i am in a fantastic mood,positive
life is beautiful right now,positive
feeling very positive today,positive
so much to be grateful for,positive
today was incredibly productive,positive
i accomplished so much today,positive
feeling proud of my progress,positive
i hate everything about this,negative
this ruins my whole day,negative
nothing is going right today,negative
i am so frustrated right now,negative
everything feels hopeless today,negative
i can not deal with this anymore,negative
this is driving me crazy,negative
i am extremely upset today,negative
feeling very down and sad,negative
this is just too much to handle,negative
this movie was incredible,positive
loved every moment of the film,positive
great storyline and acting,positive
beautifully directed movie,positive
highly recommend watching this,positive
best movie i have seen in years,positive
kept me on the edge of my seat,positive
the characters were so well written,positive
very emotional and touching film,positive
stunning visuals and soundtrack,positive
boring movie waste of time,negative
terrible plot and bad acting,negative
i walked out halfway through,negative
worst film i have ever watched,negative
predictable and unoriginal story,negative
the ending was very disappointing,negative
could not follow the story at all,negative
very slow and dragging pace,negative
overrated and forgettable film,negative
not worth watching at all,negative
this food is delicious,positive
best meal i have had in ages,positive
the flavors were incredible,positive
restaurant was amazing tonight,positive
perfectly cooked and seasoned,positive
food arrived hot and fresh,positive
fantastic dining experience overall,positive
chef really knows what they are doing,positive
generous portions and great taste,positive
will be coming back for sure,positive
food was cold and tasteless,negative
undercooked and poorly seasoned meal,negative
hair found in my food,negative
waited over an hour for food,negative
terrible restaurant never going back,negative
overpriced and underwhelming food,negative
rude staff and bad service,negative
my order was completely wrong,negative
the place was dirty and unhygienic,negative
worst dining experience ever had,negative
the app is very easy to use,positive
clean interface and smooth navigation,positive
works flawlessly on my phone,positive
really intuitive and well designed,positive
no bugs or crashes at all,positive
love the new update features,positive
best app on my phone right now,positive
very responsive and fast loading,positive
great user experience overall,positive
makes my life so much easier,positive
app keeps crashing constantly,negative
terrible user interface design,negative
way too many annoying ads,negative
drains battery very quickly,negative
lost all my data after update,negative
very slow and laggy app,negative
too complicated to navigate,negative
does not work as advertised,negative
full of bugs and glitches,negative
worst app i have ever used,negative
beautiful sunny day today,positive
the weather is perfect right now,positive
enjoying the warm sunshine outside,positive
lovely breeze and clear skies,positive
perfect day for a walk,positive
nature looks gorgeous today,positive
feeling refreshed and alive today,positive
birds are singing beautifully today,positive
the garden looks amazing right now,positive
such a peaceful and lovely day,positive
horrible rainy cold weather today,negative
stuck inside because of the storm,negative
weather ruined my plans again,negative
so gloomy and depressing outside,negative
can not stand this cold weather,negative
this weather makes me miserable,negative
flooding in the streets again today,negative
